SENSOR	NUMERO_SENSOR	CANAL	FECHA	VALOR	UNIDAD_MEDIDA
CO-E-003	1		02/01/1984 00:00:00	1,60	mm
CO-E-003	1		09/01/1984 00:00:00	1,40	mm
CO-E-003	1		16/01/1984 00:00:00	1,50	mm
CO-E-003	1		23/01/1984 00:00:00	1,70	mm
CO-E-003	1		30/01/1984 00:00:00	1,80	mm
CO-E-003	1		06/02/1984 00:00:00	1,70	mm
CO-E-003	1		13/02/1984 00:00:00	1,60	mm
CO-E-003	1		20/02/1984 00:00:00	1,60	mm
CO-E-003	1		27/02/1984 00:00:00	1,70	mm
CO-E-003	1		05/03/1984 00:00:00	1,60	mm
CO-E-003	1		12/03/1984 00:00:00	2	mm
CO-E-003	1		19/03/1984 00:00:00	2	mm
CO-E-003	1		26/03/1984 00:00:00	2,20	mm
CO-E-003	1		02/04/1984 00:00:00	2,50	mm
CO-E-003	1		09/04/1984 00:00:00	2,80	mm
CO-E-003	1		16/04/1984 00:00:00	2,70	mm
CO-E-003	1		23/04/1984 00:00:00	2,70	mm
CO-E-003	1		02/05/1984 00:00:00	3	mm
CO-E-003	1		07/05/1984 00:00:00	3	mm
CO-E-003	1		10/05/1984 00:00:00	2,90	mm
CO-E-003	1		15/05/1984 00:00:00	3,80	mm
CO-E-003	1		18/05/1984 00:00:00	3,90	mm
CO-E-003	1		21/05/1984 00:00:00	4,10	mm
CO-E-003	1		24/05/1984 00:00:00	4	mm
CO-E-003	1		28/05/1984 00:00:00	4	mm
CO-E-003	1		31/05/1984 00:00:00	4,50	mm
CO-E-003	1		04/06/1984 00:00:00	4,60	mm
CO-E-003	1		07/06/1984 00:00:00	4,60	mm
CO-E-003	1		11/06/1984 00:00:00	4,90	mm
CO-E-003	1		14/06/1984 00:00:00	4,90	mm
CO-E-003	1		18/06/1984 00:00:00	4,80	mm
CO-E-003	1		21/06/1984 00:00:00	4,70	mm
CO-E-003	1		25/06/1984 00:00:00	4,70	mm
CO-E-003	1		28/06/1984 00:00:00	4,80	mm
CO-E-003	1		02/07/1984 00:00:00	5,30	mm
CO-E-003	1		05/07/1984 00:00:00	4,90	mm
CO-E-003	1		09/07/1984 00:00:00	4,80	mm
CO-E-003	1		16/07/1984 00:00:00	4,70	mm
CO-E-003	1		23/07/1984 00:00:00	5,40	mm
CO-E-003	1		30/07/1984 00:00:00	5,80	mm
CO-E-003	1		06/08/1984 00:00:00	5,50	mm
CO-E-003	1		13/08/1984 00:00:00	5,30	mm
CO-E-003	1		20/08/1984 00:00:00	5,50	mm
CO-E-003	1		27/08/1984 00:00:00	6,40	mm
CO-E-003	1		03/09/1984 00:00:00	6,30	mm
CO-E-003	1		10/09/1984 00:00:00	5,70	mm
CO-E-003	1		17/09/1984 00:00:00	5,70	mm
CO-E-003	1		24/09/1984 00:00:00	5,60	mm
CO-E-003	1		01/10/1984 00:00:00	5,90	mm
CO-E-003	1		08/10/1984 00:00:00	5,20	mm
CO-E-003	1		15/10/1984 00:00:00	4,90	mm
CO-E-003	1		22/10/1984 00:00:00	4,80	mm
CO-E-003	1		29/10/1984 00:00:00	4,60	mm
CO-E-003	1		05/11/1984 00:00:00	4,50	mm
