CODIGO	FECHA	VALOR	UNIDAD_MEDIDA
CCR_IDB .DESCARGA TOTAL-IPU .AV	01/01/1984 00:00:00	211,42	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	02/01/1984 00:00:00	211,47	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	03/01/1984 00:00:00	211,52	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	04/01/1984 00:00:00	211,55	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	05/01/1984 00:00:00	211,58	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	06/01/1984 00:00:00	211,6	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	07/01/1984 00:00:00	211,6	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	08/01/1984 00:00:00	211,62	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	09/01/1984 00:00:00	211,64	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	10/01/1984 00:00:00	211,64	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	11/01/1984 00:00:00	211,66	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	12/01/1984 00:00:00	211,66	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	13/01/1984 00:00:00	211,67	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	14/01/1984 00:00:00	211,67	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	15/01/1984 00:00:00	211,67	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	16/01/1984 00:00:00	211,65	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	17/01/1984 00:00:00	211,58	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	18/01/1984 00:00:00	211,53	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	19/01/1984 00:00:00	211,46	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	20/01/1984 00:00:00	211,3	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	21/01/1984 00:00:00	211,19	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	22/01/1984 00:00:00	211,06	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	23/01/1984 00:00:00	210,83	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	24/01/1984 00:00:00	210,56	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	25/01/1984 00:00:00	210,27	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	26/01/1984 00:00:00	209,98	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	27/01/1984 00:00:00	209,69	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	28/01/1984 00:00:00	209,51	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	29/01/1984 00:00:00	209,6	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	30/01/1984 00:00:00	210,07	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	31/01/1984 00:00:00	210,37	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	01/02/1984 00:00:00	210,75	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	02/02/1984 00:00:00	210,92	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	03/02/1984 00:00:00	210,9	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	04/02/1984 00:00:00	210,9	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	05/02/1984 00:00:00	210,88	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	06/02/1984 00:00:00	210,9	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	07/02/1984 00:00:00	210,9	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	08/02/1984 00:00:00	210,9	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	09/02/1984 00:00:00	210,88	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	10/02/1984 00:00:00	210,8	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	11/02/1984 00:00:00	210,69	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	12/02/1984 00:00:00	210,48	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	13/02/1984 00:00:00	210,34	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	14/02/1984 00:00:00	210,23	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	15/02/1984 00:00:00	210,1	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	16/02/1984 00:00:00	210,09	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	17/02/1984 00:00:00	210,08	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	18/02/1984 00:00:00	210,15	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	19/02/1984 00:00:00	210,24	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	20/02/1984 00:00:00	210,29	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	21/02/1984 00:00:00	210,38	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	22/02/1984 00:00:00	210,4	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	23/02/1984 00:00:00	210,39	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	24/02/1984 00:00:00	210,42	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	25/02/1984 00:00:00	210,42	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	26/02/1984 00:00:00	210,5	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	27/02/1984 00:00:00	210,53	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	28/02/1984 00:00:00	210,62	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	29/02/1984 00:00:00	210,66	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	01/03/1984 00:00:00	210,62	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	02/03/1984 00:00:00	210,64	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	03/03/1984 00:00:00	210,67	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	04/03/1984 00:00:00	210,72	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	05/03/1984 00:00:00	210,84	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	06/03/1984 00:00:00	210,9	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	07/03/1984 00:00:00	210,9	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	08/03/1984 00:00:00	210,88	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	09/03/1984 00:00:00	210,83	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	10/03/1984 00:00:00	210,77	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	11/03/1984 00:00:00	210,7	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	12/03/1984 00:00:00	210,68	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	13/03/1984 00:00:00	210,64	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	14/03/1984 00:00:00	210,57	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	15/03/1984 00:00:00	210,54	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	16/03/1984 00:00:00	210,47	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	17/03/1984 00:00:00	210,46	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	18/03/1984 00:00:00	210,51	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	19/03/1984 00:00:00	210,5	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	20/03/1984 00:00:00	210,5	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	21/03/1984 00:00:00	210,56	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	22/03/1984 00:00:00	210,66	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	23/03/1984 00:00:00	210,61	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	24/03/1984 00:00:00	210,6	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	25/03/1984 00:00:00	210,64	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	26/03/1984 00:00:00	210,84	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	27/03/1984 00:00:00	210,9	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	28/03/1984 00:00:00	210,93	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	29/03/1984 00:00:00	210,94	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	30/03/1984 00:00:00	210,98	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	31/03/1984 00:00:00	211,02	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	01/04/1984 00:00:00	211,05	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	02/04/1984 00:00:00	211,1	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	03/04/1984 00:00:00	211,34	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	04/04/1984 00:00:00	211,44	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	05/04/1984 00:00:00	211,51	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	06/04/1984 00:00:00	211,55	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	07/04/1984 00:00:00	211,61	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	08/04/1984 00:00:00	211,67	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	09/04/1984 00:00:00	211,74	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	10/04/1984 00:00:00	211,8	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	11/04/1984 00:00:00	211,8	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	12/04/1984 00:00:00	211,76	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	13/04/1984 00:00:00	211,7	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	14/04/1984 00:00:00	211,75	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	15/04/1984 00:00:00	211,8	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	16/04/1984 00:00:00	211,92	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	17/04/1984 00:00:00	212,1	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	18/04/1984 00:00:00	212,3	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	19/04/1984 00:00:00	212,47	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	20/04/1984 00:00:00	212,66	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	21/04/1984 00:00:00	212,82	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	22/04/1984 00:00:00	213	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	23/04/1984 00:00:00	213,16	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	24/04/1984 00:00:00	213,25	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	25/04/1984 00:00:00	213,35	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	26/04/1984 00:00:00	213,47	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	27/04/1984 00:00:00	213,59	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	28/04/1984 00:00:00	213,7	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	29/04/1984 00:00:00	213,84	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	30/04/1984 00:00:00	214	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	01/05/1984 00:00:00	214,1	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	02/05/1984 00:00:00	214,23	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	03/05/1984 00:00:00	214,3	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	04/05/1984 00:00:00	214,4	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	05/05/1984 00:00:00	214,52	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	06/05/1984 00:00:00	214,6	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	07/05/1984 00:00:00	214,78	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	08/05/1984 00:00:00	214,97	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	09/05/1984 00:00:00	215,18	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	10/05/1984 00:00:00	215,38	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	11/05/1984 00:00:00	215,67	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	12/05/1984 00:00:00	215,96	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	13/05/1984 00:00:00	216,22	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	14/05/1984 00:00:00	216,5	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	15/05/1984 00:00:00	216,75	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	16/05/1984 00:00:00	217,08	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	17/05/1984 00:00:00	217,41	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	18/05/1984 00:00:00	217,77	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	19/05/1984 00:00:00	218,04	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	20/05/1984 00:00:00	218,28	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	21/05/1984 00:00:00	218,5	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	22/05/1984 00:00:00	218,71	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	23/05/1984 00:00:00	218,87	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	24/05/1984 00:00:00	219,04	msnm
CCR_IDB .DESCARGA TOTAL-IPU .AV	25/05/1984 00:00:00	219,1	msnm
